Company	First Name	Last Name	Email	Alternate Email	Work Phone	Home Phone	Mobile Phone	Fax Phone	Otherphone	Column 1
	Villas at Old Concord	LUXURY			9786678712					
	Viva Lake Shore	LUXURY			5083568482				8332694244	
	Voke Lofts	LUXURY			5084136408					
Winsor Communities	Vox on Two	LUXURY			8448416587	6174418700				
Makor Capital	Washington Crossing	LUXURY			7813471631		7819326866	7819326860		
John M. Corcoran & Co	Washington Mill	LUXURY			9786853333					
	Watch Factory Lofts	LUXURY			8885038241		7813735893		7813735900	
	Water's Edge Apartments	LUXURY			9782073077					
	Waterford Village	LUXURY			5083655310		6174822747			
	Watermark Kendall East	LUXURY			6175770777					
	Watermills	LUXURY			857/7607137					
	Waterside Place	LUXURY	windsorcommunities.com		8332894490					
Mill Creek	Watertown Mews	LUXURY	https://www.watertownmews.com/		8882841654		6175644615			
	Webster Woods	LUXURY			7814216184					
	West Of Chestnut	LUXURY			6174105116					
	West Village	LUXURY			7742208651					
	Wexford Village	LUXURY			5083068155					
	Weymouth Place	LUXURY			7813351343					
	Willow Trace Apartments	LUXURY			5086825810				5086997115	
	Windsor Mystic River	LUXURY			7816537511					
	Windsor Radio Factory	LUXURY			9786792433					
	Windsor Ridge @ Westborough	LUXURY			5083661515					
Avalon	eaves Burlington	LUXURY			7819962257				781 418 0996	
Avalon	eaves Wilmington and Wilmington West	LUXURY			3512770372					
Peabody Properties, Inc.	240 Conant	Luxury			9786468883					
	30 Haven Apartments	Luxury			7819441296					
	3200 Washington	Luxury			6175006858		6172507730			
Berkeley	3200 Washington	Luxury			6175006858					
UDR	345 Harrison	Luxury			8572148873	8572148265	8573853722		8573218484	
Acorn Holdings	603 Concord at Fresh Pond	Luxury			8448794351		8579991360			
Winn Residential	808 - 812 Memorial Drive	Luxury			6178680808			6174921719		
	AVA Back Bay	Luxury			6173133979					
	Alta Oxbow	Luxury					8336312207			
Aborpoint Luxury Buildings	Arborpoint at Market Street	Luxury			7813342869					
	Arlington 360	Luxury			7818595807					
	Arris Somerville	Luxury			8666985118					
Archstone	Avalon at Bear Hill	Luxury			7812092001			7812092005		
Avalon	Avalon at Chestnut Hill	Luxury			6175580666			6175581221	8663917435	
Greystar	Avana Weymouth Apartments	Luxury			7817802797					
	Avenir Apartments	Luxury			6172480505	9784568388		6172481674		
JPI	Axis Admiral's Hill	Luxury			6176069595			6178843997		
	Bell Watertown	Luxury			6177446013		844379116		6175448379	
Trinity Management	Boston East	Luxury			6172673278					
	Braintree Village	Luxury			7818482400			7818499201		
Windsor Woods	Canton Woods	Luxury			7818309100					
UDR	Charles River Landing	Luxury				7814447483		7814498483		
	Faxon Common	Luxury			6174726766			6174726528		
Samuels and Associates	Fenway Triangle	Luxury			8773831237	6178745649	6172473434			
	Flats on First	Luxury			6173791779					
	Gateway Apartments	Luxury			6176484971		7813978222		7813978222	
Aimco Apartments	Georgetown & Granada Apartments	Luxury			5082833951					
	Halstead Framingham	Luxury			5088798450	8448998978			8338386123	
	Halstead Malden Square Apts	Luxury			7813211100					
	Halstead Salem	Luxury			9782195510					
	Hanove Colony Plaza	Luxury			5084253855					
	Harborwalk Apartments (Plymouth)	Luxury			5083925558					
	Hawthorne COmmons	Luxury			9789658481					
	Highpoint Quincy	Luxury			6173285056	6179346330		6173285057		
	Jefferson @ Dedham Station	Luxury			7813201370			7813201371		
	Jefferson @ Salem Station	Luxury			9787444846					
Equity Apartments	Liberty Park	Luxury			7813561345			7813561370		
	Liberty Place	Luxury			7819860600					
Equity Apartments	Lincoln Heights	Luxury			6174717175	8669151061		6177739978		
	Linea Cambridge	Luxury			6177143554					
	Lofts at Kendall Square	Luxury			6175778856	8778470865		6175770296		
Equity Residental	Longview Place	Luxury			7818945500					
Luxe at Alwife	Luxe at Alewife	Luxury			8577062417					
	Metro Marina Bay	Luxury			8668748244		6173791449	6177709596	6177709511	
	Miscela	Luxury			6173624434					
	Modera Newton	Luxury			6176440650					
Chestnut Hill Realty	Norwest Woods (DO NOT USE)	Luxury			7817621111			7817622525		
	Nova Quincy	Luxury			8334987409					
One North of Boston	One North of Boston	Luxury					6178898030			
	One65 Main	Luxury			6177528584					
Acorn Holdings	Park77	Luxury			8448729235		8579991360			
Winn Residential	Parkway Heights	Luxury			6173819700				7813911810	
	Princeton Crossing	Luxury			9783784000			9787452065		
	Quarrystone At Overlook Ridge	Luxury			7813220553			7813213749	7813220553	
Archstone	Reading Commons	Luxury			7819443414					
Equity Apartments	Rosecliff	Luxury			6174726323				8442970939	
	Rosecliff Apartments	Luxury					8572632286			
Dolben Communities	Summit Place	Luxury			9786886300					
	The Buckley Apartments	Luxury			5089529568					
	The Commons At Windsor Gardens	Luxury			7812143974			7817628612		
	The Kensington	Luxury			6172063214	6175748733	8572643016			
	The Landing at Vinnin Square	Luxury			7817158453					
	The Laurent	Luxury			6179158699					
	The Maslight	Luxury			7816605520					
Peabody Properties, Inc.	The Millery	Luxury			9789279117			9789273605		
	The Point at Merrimack River	Luxury			9789654851					
	The Ridge	Luxury	www.ridgeapts.com		7818947300			7818947301		
	The Wright	Luxury			9786483423					
	Twenty/20	Luxury			8889284430	8575042140				
	Van Ness	Luxury			8663135278	6174241335				
TGM Vinnin Square Apartments	Vinnin Square Apartments	Luxury				9787446700				
	Wellington Parkside Apartments	Luxury			9782212321					
	Wellington Place	Luxury			7817804674					
	Whitney Towers	Luxury			6179243600					
	Woodfield Commons	Luxury			7812054803	7818054639			8335699732	
moderamedford.com	Modera Medford Luxury	NEEDS RESEARCH			8882357281					
Kenmore Properties	Kennedy Biscuit Lofts Luxury	RESEARCH			8553226532		6172368550			
	Metro at	Wilmington Station - Luxury			9789653120					
Samuels and Co	Continuum	YGL			8553429376	6176035660				
